acct_id,subscription_expected_events,subscription_actual_events,subscription_event_gap,subscription_utilization_pct,subscription_packages
418124,24.0,13,11.0,0.6944444444444443,2
418410,12.0,11,1.0,0.9166666666666667,1
423173,6.0,5,1.0,0.8333333333333334,1
427617,12.0,12,0.0,1.0,1
429564,12.0,12,0.0,1.0,1
430224,12.0,11,1.0,0.9166666666666667,1
430532,6.0,7,-1.0,1.1666666666666667,1
431181,8.0,8,0.0,1.0,1
439376,14.0,14,0.0,1.0,2
439519,6.0,6,0.0,1.0,1
440641,6.0,5,1.0,0.8333333333333334,1
440652,4.0,4,0.0,1.0,1
446064,12.0,12,0.0,1.0,1
448110,8.0,8,0.0,1.0,1
449166,6.0,3,3.0,0.5,1
450024,8.0,7,1.0,0.875,1
454754,48.0,24,24.0,0.5,1
456569,12.0,29,-17.0,2.416666666666667,1
457570,4.0,4,0.0,1.0,1
458813,12.0,12,0.0,1.0,1
459803,12.0,12,0.0,1.0,1
461519,4.0,4,0.0,1.0,1
462333,8.0,4,4.0,0.5,1
467558,4.0,4,0.0,1.0,1
472343,48.0,39,9.0,0.8125,1
472486,4.0,4,0.0,1.0,1
475544,12.0,12,0.0,1.0,1
475643,6.0,24,-18.0,4.0,1
476567,12.0,12,0.0,1.0,1
483475,4.0,3,1.0,0.75,1
489492,18.0,23,-5.0,1.4166666666666665,2
490141,4.0,3,1.0,0.75,1
492308,6.0,6,0.0,1.0,1
497709,6.0,6,0.0,1.0,1
498138,6.0,6,0.0,1.0,1
500910,4.0,3,1.0,0.75,1
