acct_id,subscription_expected_events,subscription_actual_events,subscription_event_gap,subscription_utilization_pct,subscription_packages
325515,12.0,12,0.0,1.0,1
326175,12.0,7,5.0,0.5833333333333334,1
326197,4.0,4,0.0,1.0,1
327561,12.0,12,0.0,1.0,1
327605,48.0,30,18.0,0.625,1
327649,12.0,12,0.0,1.0,1
328012,6.0,12,-6.0,2.0,1
328342,12.0,17,-5.0,1.4166666666666667,1
328386,48.0,46,2.0,0.9583333333333333,1
329057,6.0,6,0.0,1.0,1
331664,6.0,5,1.0,0.8333333333333334,1
332126,12.0,12,0.0,1.0,1
332335,12.0,12,0.0,1.0,1
332577,30.0,24,6.0,0.6944444444444445,2
333204,12.0,23,-11.0,1.9166666666666665,1
333611,8.0,8,0.0,1.0,1
333919,24.0,24,0.0,1.0,1
334029,12.0,14,-2.0,1.1666666666666667,1
334161,12.0,11,1.0,0.9166666666666667,1
334282,12.0,4,8.0,0.3333333333333333,1
334392,12.0,12,0.0,1.0,1
335415,12.0,9,3.0,0.75,1
335426,18.0,18,0.0,1.0,1
335481,12.0,12,0.0,1.0,2
335492,24.0,24,0.0,1.0,1
335998,12.0,12,0.0,1.0,1
336097,24.0,12,12.0,0.638888888888889,2
336328,12.0,11,1.0,0.9166666666666667,1
336394,12.0,12,0.0,1.0,2
336592,24.0,24,0.0,1.0,1
336933,30.0,23,7.0,0.6666666666666666,3
337945,24.0,24,0.0,1.0,1
338187,14.0,8,6.0,0.5555555555555555,3
338561,12.0,12,0.0,1.0,1
338836,12.0,12,0.0,1.0,2
339100,12.0,13,-1.0,1.0833333333333335,1
339177,12.0,12,0.0,1.0,1
339254,18.0,12,6.0,0.6666666666666666,3
339507,18.0,19,-1.0,1.2916666666666667,2
340519,12.0,12,0.0,1.0,1
341520,12.0,18,-6.0,1.5,1
341729,12.0,12,0.0,1.0,2
341806,6.0,6,0.0,1.0,1
341839,12.0,12,0.0,1.0,1
341872,12.0,12,0.0,1.0,1
341905,12.0,11,1.0,0.9166666666666667,1
342070,12.0,12,0.0,1.0,1
343566,6.0,4,2.0,0.6666666666666666,1
343632,12.0,12,0.0,1.0,1
344116,6.0,6,0.0,1.0,1
344204,12.0,12,0.0,1.0,1
344578,12.0,13,-1.0,1.0833333333333335,1
346613,8.0,6,2.0,0.75,1
347251,12.0,12,0.0,1.0,2
347845,12.0,12,0.0,1.0,1
347922,12.0,12,0.0,1.0,1
348164,12.0,10,2.0,0.8333333333333333,1
348274,12.0,12,0.0,1.0,1
348285,12.0,10,2.0,0.8333333333333333,1
349077,12.0,12,0.0,1.0,1
349165,4.0,3,1.0,0.75,1
349572,12.0,12,0.0,1.0,1
349847,10.0,10,0.0,1.0,2
351684,6.0,1,5.0,0.16666666666666666,1
351750,6.0,3,3.0,0.5,1
351860,12.0,12,0.0,1.0,1
352091,24.0,22,2.0,0.9166666666666666,1
352685,24.0,24,0.0,1.0,1
352740,48.0,22,26.0,0.4583333333333333,2
354071,6.0,4,2.0,0.6666666666666666,1
354115,66.0,44,22.0,0.6157407407407408,2
354390,12.0,12,0.0,1.0,2
354896,30.0,23,7.0,0.7666666666666667,4
356304,48.0,48,0.0,1.0,1
356491,6.0,6,0.0,1.0,1
356546,12.0,9,3.0,0.75,1
356557,30.0,28,2.0,1.5833333333333333,2
356700,12.0,12,0.0,1.0,1
356843,16.0,14,2.0,0.9166666666666667,2
357140,12.0,22,-10.0,1.8333333333333335,1
357316,22.0,3,19.0,0.2777777777777778,2
357327,12.0,12,0.0,1.0,1
357844,6.0,6,0.0,1.0,1
358185,12.0,12,0.0,1.0,1
358207,48.0,44,4.0,0.9166666666666667,1
358724,30.0,39,-9.0,1.1111111111111112,2
358933,12.0,12,0.0,1.0,1
360781,48.0,43,5.0,0.8958333333333334,1
361562,6.0,6,0.0,1.0,1
362310,12.0,10,2.0,0.8333333333333333,1
362618,24.0,24,0.0,1.0,1
363179,12.0,12,0.0,1.0,1
363212,12.0,12,0.0,1.0,1
363773,12.0,12,0.0,1.0,2
364554,12.0,9,3.0,0.75,1
364565,12.0,12,0.0,1.0,1
365412,24.0,2,22.0,0.08333333333333333,1
365808,10.0,10,0.0,1.0,2
365940,6.0,6,0.0,1.0,1
366578,12.0,12,0.0,1.0,1
367436,12.0,6,6.0,0.5,2
368470,24.0,1,23.0,0.041666666666666664,1
369922,12.0,12,0.0,1.0,1
371792,12.0,12,0.0,1.0,1
375103,4.0,4,0.0,1.0,1
378634,48.0,34,14.0,0.7083333333333334,1
378766,12.0,12,0.0,1.0,1
378843,6.0,6,0.0,1.0,1
379316,12.0,12,0.0,1.0,2
379657,48.0,48,0.0,1.0,1
380856,12.0,11,1.0,0.9166666666666667,1
380955,6.0,6,0.0,1.0,1
384761,6.0,1,5.0,0.16666666666666666,1
384805,12.0,12,0.0,1.0,1
386862,6.0,6,0.0,1.0,1
386950,6.0,6,0.0,1.0,1
387885,8.0,8,0.0,1.0,1
390349,18.0,11,7.0,0.611111111111111,3
393858,12.0,11,1.0,0.9166666666666667,1
394738,4.0,4,0.0,1.0,1
395959,6.0,6,0.0,1.0,1
402603,12.0,11,1.0,0.9166666666666667,1
404022,12.0,12,0.0,1.0,1
405111,12.0,12,0.0,1.0,1
406211,12.0,12,0.0,1.0,1
409225,12.0,12,0.0,1.0,1
409742,4.0,4,0.0,1.0,1
412503,6.0,5,1.0,0.8333333333333334,1
412646,6.0,6,0.0,1.0,1
413548,6.0,6,0.0,1.0,1
414714,36.0,36,0.0,1.0,1
417607,42.0,36,6.0,0.7037037037037037,2
