acct_id,fiscal_year,price_code_type,package_size,actual_events,tickets_sold,avg_seats_per_event,expected_events,event_gap,utilization_pct
120629,FY23,Fixed Established Subscription 24 Concert,24.0,24,48,2.0,24.0,0.0,1.0
120629,FY24,Fixed Established Subscription 24 Concert,24.0,24,48,2.0,24.0,0.0,1.0
121355,FY23,Fixed Freshman Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
121355,FY24,Fixed Sophomore Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
121432,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
121476,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
122125,FY24,Fixed Sophomore Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
123126,FY23,Fixed Established Subscription 6 Concert,6.0,6,18,2.5714285714285716,6.0,0.0,1.0
123126,FY24,Fixed Established Subscription Sunday,4.0,4,12,3.0,4.0,0.0,1.0
123423,FY23,Fixed Established Subscription 6 Concert,6.0,6,22,3.6666666666666665,6.0,0.0,1.0
123423,FY24,Fixed Established Subscription 6 Concert,6.0,6,24,4.0,6.0,0.0,1.0
123819,FY23,Fixed Established Subscription 24 Concert,24.0,24,24,1.0,24.0,0.0,1.0
124996,FY23,Fixed Established Subscription 6 Concert,6.0,5,10,2.0,6.0,1.0,0.8333333333333334
124996,FY24,Fixed Established Subscription 6 Concert,6.0,2,4,2.0,6.0,4.0,0.3333333333333333
125062,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
125062,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
125073,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
125073,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
125909,FY24,Fixed Freshman Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
126041,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
126041,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
127944,FY23,Fixed Sophomore Subscription 12 Concert,12.0,11,24,2.0,12.0,1.0,0.9166666666666666
127944,FY24,Fixed Established Subscription 12 Concert,12.0,12,24,1.8461538461538463,12.0,0.0,1.0
128769,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
128978,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
128978,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
129363,FY23,Fixed Sophomore Subscription 6 Concert,6.0,6,24,4.0,6.0,0.0,1.0
129363,FY24,Fixed Established Subscription 6 Concert,6.0,6,24,4.0,6.0,0.0,1.0
130067,FY23,Fixed Established Subscription 12 Concert,12.0,11,24,2.0,12.0,1.0,0.9166666666666666
130133,FY24,Fixed Freshman Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
130243,FY23,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
130738,FY23,Fixed Established Subscription Sunday,4.0,3,6,2.0,4.0,1.0,0.75
130738,FY24,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
130881,FY23,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
130881,FY24,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
132454,FY23,Fixed Established Subscription 12 Concert,12.0,12,24,2.0,12.0,0.0,1.0
132454,FY24,Fixed Established Subscription 12 Concert,12.0,12,24,2.0,12.0,0.0,1.0
133378,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
133378,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
133653,FY23,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
133653,FY24,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
134159,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
