price,seats_sold,transactions,num_events,total_revenue
123.0,225,86,41,27675.0
123.2,28,13,5,3449.6
123.5,46,23,23,5681.0
124.0,746,391,73,92504.0
125.0,102,44,19,12750.0
126.0,214,164,33,26964.0
128.0,445,218,58,56960.0
129.0,144,54,24,18576.0
129.5,5,1,1,647.5
130.0,616,288,37,80080.0
130.05,3,1,1,390.15000000000003
131.0,16,15,4,2096.0
131.25,3,1,1,393.75
132.0,1007,413,68,132924.0
133.0,3,3,3,399.0
134.0,695,344,55,93130.0
135.0,617,213,67,83295.0
136.0,358,160,41,48688.0
136.5,20,10,8,2730.0
137.0,1,1,1,137.0
137.5,10,2,2,1375.0
138.0,1403,661,79,193614.0
138.5,46,23,20,6371.0
138.75,12,4,4,1665.0
139.0,14,14,7,1946.0
140.0,941,373,78,131740.0
140.25,9,3,2,1262.25
140.8,4,1,1,563.2
141.0,107,36,25,15087.0
142.0,726,357,52,103092.0
142.4,2,1,1,284.8
142.8,4,1,1,571.2
143.0,88,44,16,12584.0
144.0,879,411,53,126576.0
144.2,2,1,1,288.4
144.5,1,1,1,144.5
145.0,112,24,9,16240.0
145.5,18,6,5,2619.0
145.8,4,2,2,583.2
146.0,26,13,3,3796.0
147.0,315,105,20,46305.0
148.0,142,54,20,21016.0
148.5,3,1,1,445.5
148.8,6,2,1,892.8000000000001
149.0,367,184,47,54683.0
150.0,1084,481,59,162600.0
150.45,9,3,3,1354.05
151.0,32,8,8,4832.0
151.2,6,2,2,907.1999999999999
151.3,6,3,3,907.8000000000001
151.5,6,2,2,909.0
152.0,790,374,50,120080.0
153.0,523,173,47,80019.0
153.75,5,1,1,768.75
154.0,164,81,38,25256.0
154.5,6,2,2,927.0
155.0,30,6,4,4650.0
156.0,997,392,57,155532.0
158.0,696,348,56,109968.0
159.0,257,169,22,40863.0
160.0,358,134,21,57280.0
160.5,39,13,10,6259.5
161.0,21,3,3,3381.0
162.0,393,171,73,63666.0
163.2,26,12,10,4243.2
163.5,12,4,4,1962.0
164.0,459,177,42,75276.0
164.8,4,2,2,659.2
165.0,353,112,40,58245.0
165.5,346,173,39,57263.0
166.0,348,174,26,57768.0
167.0,3,3,1,501.0
168.0,451,151,48,75768.0
169.0,23,23,1,3887.0
170.0,456,228,59,77520.0
170.4,3,1,1,511.20000000000005
171.0,69,23,15,11799.0
172.0,134,45,27,23048.0
172.2,6,1,1,1033.1999999999998
172.8,3,1,1,518.4000000000001
173.4,4,1,1,693.6
174.0,113,31,13,19662.0
175.0,133,27,16,23275.0
175.1,14,7,2,2451.4
175.95,6,2,2,1055.6999999999998
176.0,330,137,29,58080.0
177.0,264,88,25,46728.0
178.0,628,314,9,111784.0
180.0,1141,334,93,205380.0
180.8,2,1,1,361.6
181.0,12,6,6,2172.0
182.0,125,60,27,22750.0
183.0,168,56,20,30744.0
183.6,6,2,2,1101.6
184.0,306,125,23,56304.0
184.8,3,1,1,554.4000000000001
185.0,60,13,11,11100.0
186.0,422,192,24,78492.0
187.0,4,1,1,748.0
187.5,6,2,2,1125.0
188.0,398,166,71,74824.0
188.75,15,3,3,2831.25
189.0,19,7,5,3591.0
190.0,607,293,97,115330.0
191.0,80,40,36,15280.0
192.0,137,44,17,26304.0
194.0,10,4,4,1940.0
195.0,283,71,19,55185.0
196.0,463,141,19,90748.0
197.0,244,122,46,48068.0
198.0,257,112,19,50886.0
199.0,3,3,1,597.0
200.0,2031,969,66,406200.0
201.0,150,50,18,30150.0
202.0,38,19,7,7676.0
203.0,35,5,3,7105.0
204.0,1672,679,60,341088.0
204.75,3,1,1,614.25
205.0,70,14,12,14350.0
205.5,172,86,17,35346.0
206.0,578,289,35,119068.0
207.0,378,125,28,78246.0
208.0,44,8,7,9152.0
210.0,192,51,28,40320.0
211.2,6,1,1,1267.1999999999998
212.0,2014,981,60,426968.0
213.0,84,28,18,17892.0
214.0,66,32,5,14124.0
214.5,12,4,4,2574.0
215.0,40,8,6,8600.0
215.5,186,93,13,40083.0
215.6,4,1,1,862.4
216.0,353,104,53,76248.0
217.5,4,2,1,870.0
218.0,982,491,43,214076.0
219.0,4,2,2,876.0
220.0,630,204,44,138600.0
222.0,607,292,52,134754.0
224.0,366,92,37,81984.0
225.0,471,119,27,105975.0
226.0,416,208,18,94016.0
226.95,6,2,1,1361.6999999999998
227.0,3,1,1,681.0
228.0,338,130,46,77064.0
229.0,1,1,1,229.0
230.0,67,23,16,15410.0
231.0,48,16,11,11088.0
232.0,226,88,20,52432.0
234.0,224,61,29,52416.0
234.6,16,4,3,3753.6
235.0,15,3,2,3525.0
236.0,246,66,21,58056.0
237.0,69,23,5,16353.0
238.0,170,85,32,40460.0
240.0,313,88,33,75120.0
242.0,76,38,10,18392.0
243.2,4,1,1,972.8
244.0,154,48,21,37576.0
245.0,207,41,8,50715.0
246.0,107,32,21,26322.0
246.4,8,2,2,1971.2
247.5,18,2,2,4455.0
248.0,524,222,24,129952.0
249.0,90,30,14,22410.0
250.0,183,78,31,45750.0
250.75,5,1,1,1253.75
252.0,284,134,19,71568.0
255.0,253,63,36,64515.0
256.0,132,37,16,33792.0
258.0,81,37,11,20898.0
259.0,28,4,2,7252.0
260.0,170,53,18,44200.0
261.0,18,2,2,4698.0
262.0,8,4,1,2096.0
264.0,142,40,15,37488.0
265.0,20,4,4,5300.0
265.6,4,1,1,1062.4
266.0,23,9,8,6118.0
267.0,186,62,6,49662.0
268.0,118,34,17,31624.0
270.0,249,67,37,67230.0
272.0,112,37,15,30464.0
273.0,36,8,7,9828.0
274.0,4,2,1,1096.0
275.0,201,38,12,55275.0
276.0,363,97,22,100188.0
277.0,4,1,1,1108.0
278.0,36,18,9,10008.0
279.0,93,31,10,25947.0
280.0,335,89,49,93800.0
282.0,9,4,2,2538.0
284.0,58,16,8,16472.0
285.0,28,6,5,7980.0
286.0,18,5,5,5148.0
287.0,7,1,1,2009.0
288.0,126,31,18,36288.0
290.0,38,12,10,11020.0
292.0,8,2,1,2336.0
294.0,159,31,8,46746.0
