purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
38.25,9,3,1,344.25,6924,0.8762338648443432,0.0011389521640091116,50.29948114401417
35.7,8,4,4,285.6,6932,0.8772462667679068,0.0010124019235636548,50.29948114401417
35.5,5,2,2,177.5,6937,0.8778790179701341,0.0006327512022272843,50.29948114401417
34.0,73,42,10,2482.0,7010,0.8871171855226525,0.009238167552518349,50.29948114401417
33.5,108,61,32,3618.0,7118,0.9007846114907618,0.01366742596810934,50.29948114401417
33.0,34,18,11,1122.0,7152,0.9050873196659074,0.004302708175145533,50.29948114401417
32.5,34,17,7,1105.0,7186,0.9093900278410529,0.004302708175145533,50.29948114401417
32.0,59,34,24,1888.0,7245,0.9168564920273349,0.007466464186281954,50.29948114401417
31.2,2,1,1,62.4,7247,0.9171095925082258,0.0002531004808909137,50.29948114401417
31.0,5,2,1,155.0,7252,0.917742343710453,0.0006327512022272843,50.29948114401417
28.25,10,5,5,282.5,7262,0.9190078461149076,0.0012655024044545685,50.29948114401417
28.0,1,1,1,28.0,7263,0.9191343963553531,0.00012655024044545685,50.29948114401417
27.5,2,1,1,55.0,7265,0.919387496836244,0.0002531004808909137,50.29948114401417
27.0,77,53,39,2079.0,7342,0.9291318653505442,0.009744368514300177,50.29948114401417
25.5,22,14,11,561.0,7364,0.9319159706403443,0.0027841052898000505,50.29948114401417
24.25,16,12,5,388.0,7380,0.9339407744874715,0.0020248038471273096,50.29948114401417
24.0,159,86,42,3816.0,7539,0.9540622627182992,0.020121488230827638,50.29948114401417
23.25,29,20,9,674.25,7568,0.9577322196912175,0.0036699569729182484,50.29948114401417
23.0,210,115,38,4830.0,7778,0.9843077701847633,0.026575550493545937,50.29948114401417
22.0,2,2,1,44.0,7780,0.9845608706656542,0.0002531004808909137,50.29948114401417
21.0,34,17,12,714.0,7814,0.9888635788407998,0.004302708175145533,50.29948114401417
20.5,12,6,3,246.0,7826,0.9903821817261452,0.0015186028853454822,50.29948114401417
20.0,11,7,6,220.0,7837,0.9917742343710453,0.0013920526449000253,50.29948114401417
19.0,1,1,1,19.0,7838,0.9919007846114908,0.00012655024044545685,50.29948114401417
16.0,61,61,17,976.0,7899,0.9996203492786636,0.007719564667172867,50.29948114401417
14.0,3,3,3,42.0,7902,1.0,0.00037965072133637056,50.29948114401417
