purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
35.25,18,7,6,634.5,24945,0.6855658769856539,0.0004946957621063046,53.17736629472874
35.2,1,1,1,35.2,24946,0.6855933600835487,2.7483097894794702e-05,53.17736629472874
34.5,112,68,38,3864.0,25058,0.6886714670477656,0.0030781069642170067,53.17736629472874
34.4,8,4,3,275.2,25066,0.688891331830924,0.00021986478315835762,53.17736629472874
34.0,1109,608,74,37706.0,26175,0.7193700873962513,0.030478755565327323,53.17736629472874
33.75,52,25,10,1755.0,26227,0.7207992084867806,0.0014291210905293245,53.17736629472874
33.5,531,301,49,17788.5,26758,0.7353927334689166,0.014593524982135987,53.17736629472874
33.0,118,73,38,3894.0,26876,0.7386357390205024,0.0032430055515857746,53.17736629472874
32.5,228,112,51,7410.0,27104,0.7449018853405156,0.0062661463200131915,53.17736629472874
32.0,679,379,51,21728.0,27783,0.7635629088110811,0.018661023470565603,53.17736629472874
31.5,32,32,21,1008.0,27815,0.7644423679437146,0.0008794591326334305,53.17736629472874
31.0,82,34,24,2542.0,27897,0.7666959819710878,0.0022536140273731655,53.17736629472874
30.75,76,35,12,2337.0,27973,0.7687846974110922,0.002088715440004397,53.17736629472874
30.5,232,112,46,7076.0,28205,0.7751607761226845,0.00637607871159237,53.17736629472874
30.25,72,45,25,2178.0,28277,0.7771395591711098,0.0019787830484252183,53.17736629472874
30.0,202,125,71,6054.0,28479,0.7826911449458583,0.00555158577474853,53.17736629472874
29.5,73,37,12,2153.5,28552,0.7846974110921783,0.002006266146320013,53.17736629472874
29.25,244,142,50,7137.0,28796,0.7914032869785083,0.006705875886329907,53.17736629472874
29.0,89,49,29,2581.0,28885,0.793849282691145,0.0024459957126367286,53.17736629472874
28.0,313,189,50,8764.0,29198,0.8024514923322157,0.008602209641070741,53.17736629472874
27.25,31,16,16,844.75,29229,0.8033034683669543,0.0008519760347386357,53.17736629472874
26.5,89,51,9,2358.5,29318,0.805749464079591,0.0024459957126367286,53.17736629472874
26.0,4,2,2,104.0,29322,0.8058593964711702,0.00010993239157917881,53.17736629472874
25.25,56,41,10,1414.0,29378,0.8073984499532787,0.0015390534821085034,53.17736629472874
25.0,250,143,48,6258.5,29628,0.8142692244269774,0.006870774473698675,53.17736629472874
24.25,265,108,15,6426.25,29893,0.821552245369098,0.007283020942120596,53.17736629472874
24.0,1504,905,95,36096.0,31397,0.8628868246028693,0.04133457923377123,53.17736629472874
23.5,248,150,51,5828.0,31645,0.8697026328807783,0.006815808277909086,53.17736629472874
23.25,189,103,19,4394.25,31834,0.8748969383828945,0.005194305502116198,53.17736629472874
23.0,1362,776,94,31326.0,33196,0.9123289177156049,0.037431979332710384,53.17736629472874
22.5,282,176,49,6345.0,33478,0.920079151321937,0.007750233606332106,53.17736629472874
22.0,172,95,49,3784.0,33650,0.9248062441598417,0.004727092837904689,53.17736629472874
21.5,68,42,38,1462.0,33718,0.9266750948166877,0.0018688506568460396,53.17736629472874
21.0,318,194,83,6678.0,34036,0.9354147199472325,0.008739625130544715,53.17736629472874
20.0,350,226,50,7000.0,34386,0.9450338042104106,0.009619084263178146,53.17736629472874
18.75,124,64,8,2325.0,34510,0.9484417083493651,0.003407904138954543,53.17736629472874
18.0,319,160,52,5742.0,34829,0.9572088165778047,0.00876710822843951,53.17736629472874
17.0,270,159,49,4590.0,35099,0.9646292530093992,0.007420436431594569,53.17736629472874
16.75,18,9,9,301.5,35117,0.9651239487715055,0.0004946957621063046,53.17736629472874
16.5,136,84,43,2248.0,35253,0.9688616500851976,0.003737701313692079,53.17736629472874
16.0,146,81,39,2336.0,35399,0.9728741823778376,0.004012532292640026,53.17736629472874
15.75,213,129,59,3354.75,35612,0.9787280822294289,0.0058538998515912715,53.17736629472874
15.5,26,22,15,403.0,35638,0.9794426427746936,0.0007145605452646622,53.17736629472874
15.25,38,21,18,579.5,35676,0.9804870004946957,0.0010443577200021986,53.17736629472874
15.0,86,69,28,1290.0,35762,0.9828505469136481,0.0023635464189523444,53.17736629472874
12.0,184,110,44,2208.0,35946,0.9879074369262903,0.0050568900126422255,53.17736629472874
11.75,104,71,34,1222.0,36050,0.990765679107349,0.002858242181058649,53.17736629472874
11.5,286,172,83,3289.0,36336,0.9986258451052603,0.007860165997911285,53.17736629472874
11.25,38,25,19,427.5,36374,0.9996702028252624,0.0010443577200021986,53.17736629472874
11.0,12,6,6,132.0,36386,1.0,0.0003297971747375364,53.17736629472874
