purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
88.0,248,131,12,21824.0,12229,0.1500988057393247,0.003043953211493378,56.44526530261559
87.55,19,7,2,1663.45,12248,0.1503320118321407,0.00023320609281602493,56.44526530261559
87.0,16,6,2,1392.0,12264,0.15052839591030157,0.0001963840781608631,56.44526530261559
86.0,47,22,14,4042.0,12311,0.1511052741398991,0.0005768782295975354,56.44526530261559
85.0,391,168,11,33235.0,12702,0.1559044100499552,0.0047991359100560925,56.44526530261559
84.0,25,14,3,2100.0,12727,0.15621126017208156,0.0003068501221263486,56.44526530261559
83.0,307,156,22,25481.0,13034,0.1599793796717931,0.003768119499711561,56.44526530261559
82.75,511,335,51,42347.0,13545,0.16625139616805568,0.006272016496262566,56.44526530261559
82.4,3,2,2,247.20000000000002,13548,0.16628821818271083,3.682201465516183e-05,56.44526530261559
82.0,225,128,19,18450.0,13773,0.16904986928184798,0.0027616510991371373,56.44526530261559
81.6,18,9,8,1468.8,13791,0.16927080136977896,0.000220932087930971,56.44526530261559
81.0,2,1,1,162.0,13793,0.16929534937954904,2.454800977010789e-05,56.44526530261559
80.0,148,78,17,11840.0,13941,0.17111190210253704,0.0018165527229879836,56.44526530261559
79.0,908,566,61,71732.0,14849,0.182256698538166,0.011144796435628981,56.44526530261559
78.0,537,279,38,41886.0,15386,0.18884783916144,0.006591140623273968,56.44526530261559
77.0,215,106,35,16555.0,15601,0.1914867502117266,0.002638911050286598,56.44526530261559
76.0,752,392,50,57152.0,16353,0.20071680188528715,0.009230051673560566,56.44526530261559
75.65,43,12,4,3252.95,16396,0.20124458409534446,0.0005277822100573196,56.44526530261559
75.0,928,446,18,69600.0,17324,0.21263486062867454,0.01139027653333006,56.44526530261559
74.5,278,143,46,20711.0,17602,0.21604703398671954,0.0034121733580449965,56.44526530261559
74.0,108,50,6,7992.0,17710,0.21737262651430536,0.001325592527585826,56.44526530261559
73.0,44,17,3,3212.0,17754,0.21791268272924771,0.0005400562149423736,56.44526530261559
72.9,2,2,1,145.8,17756,0.21793723073901783,2.454800977010789e-05,56.44526530261559
72.1,2,1,1,144.2,17758,0.21796177874878794,2.454800977010789e-05,56.44526530261559
72.0,754,405,39,54288.0,18512,0.22721637843211862,0.009254599683330674,56.44526530261559
71.5,36,20,9,2574.0,18548,0.22765824260798057,0.000441864175861942,56.44526530261559
71.2,2,1,1,142.4,18550,0.22768279061775065,2.454800977010789e-05,56.44526530261559
71.0,694,361,46,49274.0,19244,0.2362009500079781,0.008518159390227438,56.44526530261559
70.0,673,356,65,47110.0,19917,0.2444613552956194,0.008260405287641305,56.44526530261559
69.25,78,58,33,5401.5,19995,0.24541872767665363,0.0009573723810342076,56.44526530261559
69.0,1101,515,16,75969.0,21096,0.258932407055098,0.013513679378444393,56.44526530261559
68.0,403,180,22,27404.0,21499,0.26387883102377474,0.00494642396867674,56.44526530261559
